Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
4:30	gqti	207791	Metonymy [26707]	as you stretch out your hand to heal and for signs and wonders to happen	1	Here the **hand** represents God’s power. To **stretch out** the hand means to use it. So this is a prayer for God to do powerful things. Alternate translation: “as you do powerful things to heal people and to make signs and wonders happen”
4:30	wvjp	207792	Doublet [26680]	signs and wonders	1	The terms **signs** and **wonders** mean similar things. Luke is using them together for emphasis. See how you translated the similar expression in 2:43. Alternate translation: “great miracles”
4:30	juyq	207793	Metonymy [26707]	through the name	1	Here, **name** refers to authority. Alternate translation: “by the authority”
4:30	c5v3	207794		the name of your holy Servant Jesus	1	Here the word **Servant** is a title for the Messiah. See the discussion of that term in the General Notes to Chapter 3, and see how you translated it in 3:13, 3:26, and 4:27. Alternate translation: “the name of Jesus, your holy Messiah”
4:31	d33j	207795	End of Story [26831]	And	1	This verse is the end of the whole story of how the lame man was healed and how Peter and John were arrested as a result. Luke uses the word translated **And** to introduce information about what happened after the story as a result of the events within the story itself. Your language may have its own way of indicating how such information relates to a story.
4:31	rhx9	207796	Active or Passive [26672]	in which they were gathered together	1	If it would be helpful in your language, you could state this with an active form. Alternate translation: “where they had gathered together”
4:31	x5bw	207797	Active or Passive [26672]	was shaken	1	If it would be helpful in your language, you could state this with an active form. Alternate translation: “shook”
4:31	tzdn	207798	Active or Passive [26672]	they were all filled with the Holy Spirit	1	If it would be helpful in your language, you could state this with an active form. See how you translated the same expression in 2:4. Alternate translation: “the Holy Spirit filled them all”
4:31	yp2j	207799	Metaphor [26706]	they were all filled with the Holy Spirit	1	Luke is speaking as if the believers were containers that the Holy Spirit **filled**. Alternate translation: “the Holy Spirit inspired them all”
4:31	bwhl	207800	Metonymy [26707]	the word of God	1	Luke is using the term **word** to mean the message that God wanted the believers to share by using words. Alternate translation: “the message from God”
4:31	i10z	207801	Abstract Nouns [26671]	with boldness	1	If your language does not use an abstract noun for the idea behind the word **boldness**, you could express the same idea with an adverb such as “boldly.” Alternate translation: “boldly”
4:32	cqqo	207802	Connect — Background Information [26746]	Now	1	Luke uses the word **Now** to introduce background information in 4:32–37 that will help readers understand further episodes in the story. These verses introduce Barnabas, who will be an important character in the book, and they also help account for what happens to Ananias and Sapphira in the next chapter. You can translate the word **Now** with a term or phrase that serves the same purpose in your language.
4:32	a93n	207803	Metonymy [26707]	was one in heart and soul	1	Here the word **heart** seems to represent the emotions and the word **soul** seems to represent the desires. Alternate translation: “thought the same way and desired the same things” or see the next note for a further possibility.
4:32	bmsb	207804	Doublet [26680]	was one in heart and soul	1	The terms **heart** and **soul** mean similar things, and Luke may be using them together for emphasis. If it would be helpful to your readers, you could combine the terms in your translation. Alternate translation: “was genuinely united”
4:32	v19f	207805		of the things that were to him	1	Alternate translation: “of the things that he owned”
4:32	zocb	207806	Hyperbole [26695]	everything was common to them	1	The word **everything** may be a generalization that emphasizes the powerful spirit of generosity among the believers. See how you translated the similar expression in 2:44. Alternate translation: “they shared their belongings with one another”
4:33	wsl2	207807	Abstract Nouns [26671]	of the resurrection of the Lord Jesus	1	If your language does not use an abstract noun for the idea behind the word **resurrection**, you could express the same idea with an adjective such as “alive.” Alternate translation: “of how God made the Lord Jesus alive again after he died”
4:33	gqhq	207808	Pronouns — When to Use Them [26838]	and great grace was upon them all	1	The pronoun **them** refers back to “the multitude of those who believed” in 4:32. It does not refer just to the **apostles**, who are mentioned in this verse. Alternate translation: “great grace was upon all of the believers”
4:33	j10s	207809	Abstract Nouns [26671]	and great grace was upon them all	1	If your language does not use an abstract noun for the idea behind the word **grace**, you could express the same idea with an equivalent expression. The word could describe: (1) how God was blessing the believers. Alternate translation: “God was blessing all of the believers in wonderful ways” (2) how the people in Jerusalem held the believers in high esteem. Alternate translation: “the people of Jerusalem thought very highly of all the believers”
4:34	e967	207810	Verse Bridges [26824]	For there was not anyone needy among them	1	This statement expresses the result of the rest of what Luke says in this verse and what he says in the next verse. If it would be helpful in your language to put this result after the reasons for it, you could create a verse bridge by moving this statement to the end of the next verse and beginning it with the word “So” instead of **For**.
4:34	ixt8	207811	Connect — Reason-and-Result Relationship [26745]	For	1	Luke uses the word **For** in its first instance in this verse to introduce the evidence or reason for his statement at the end of the previous verse that “great grace was upon them all.” The meaning here depends on the meaning there. Alternate translation: (1) “The way God was blessing the believers could be seen in the fact that” or (2) “One thing that made the people think very highly of the believers was that”
4:34	hnf7	207812	Connect — Reason-and-Result Relationship [26745]	for	1	Luke uses the word **for** in its second instance in this verse to introduce the reason why no one in the community of believers was needy. Alternate translation: “and the reason for this was that”
4:34	ewd7	207813	Hyperbole [26695]	for as many as were owners of lands or houses	1	The phrase **as many as** is a generalization for emphasis. Alternate translation: “many believers who owned lands or houses”
4:34	x0i4	207814	Active or Passive [26672]	the price of the things being sold	1	If it would be helpful in your language, you could state this with an active form. Alternate translation: “the money that they received from the things they sold”
4:35	ndo1	207815	Symbolic Action [26816]	they were laying it at the feet of the apostles	1	The expression **laying it at the feet** indicates that believers who sold possessions were putting the money they received onto the ground in front of the apostles. In this culture, that was a symbolic way of presenting it to them as a gift to be used to help others in the community. If there is a comparable symbolic action in your culture, you could use that in your translation. You could also use a general expression. Alternate translation: “they were presenting it to the apostles”
4:35	upug	207817	Active or Passive [26672]	it was being distributed	1	If it would be helpful in your language, you could state this with an active form. Alternate translation: “the apostles were distributing it”
4:35	anuo	207818	Abstract Nouns [26671]	to each one, according as anyone had need	1	If your language does not use an abstract noun for the idea behind the word **need**, you could express the same idea with a verb such as “need.” Alternate translation: “to every person in the amount that he needed”
4:36	omsx	207819	Introduction of New and Old Participants [26835]	Then Joseph	1	Luke uses this phrase to introduce a new character into the story. If your language has its own way of doing that, you could use it here in your translation.
4:36	t5yr	207820	How to Translate Names [26805]	Joseph,  &  Barnabas	1	**Joseph** and **Barnabas** are two names for the same man.
4:36	r85e	207821	Active or Passive [26672]	called Barnabas by the apostles	1	If it would be helpful in your language, you could state this with an active form. Alternate translation: “whom the apostles called Barnabas”
4:36	fglq	207822	Active or Passive [26672]	which, being translated, is Son of Encouragement	1	If it would be helpful in your language, you could express the meaning of the passive verbal form **being translated** with an active form. Alternate translation: “which means Son of Encouragement”
4:36	eryf	207823	Assumed Knowledge and Implicit Information [26687]	which, being translated, is Son of Encouragement	1	Luke assumes that his readers will know that he is saying what the name Barnabas means when **translated** from the Aramaic language. If it would be helpful to your readers, you could state that explicitly. Alternate translation: “which means Son of Encouragement in Aramaic”
4:36	wyta	207824	Idiom [26697]	Son of Encouragement	1	The expression **Son of** describes a person who shares the qualities of something. The apostles used this name to describe Joseph’s behavior and character, since he was a person who encouraged others. Alternate translation: “the Encourager”
4:36	nw57	207825	Abstract Nouns [26671]	Son of Encouragement	1	If your language does not use an abstract noun for the idea behind the word **Encouragement**, you could express the same idea with a verb such as “encourage.” Alternate translation: “the One who Encourages”
4:37	nmfy	207826		that was to him	1	See how you translated the similar expression in 4:32. Alternate translation: “that he owned”
4:37	dajq	207827	Symbolic Action [26816]	laid it at the feet of the apostles	1	See how you translated the similar expression in 4:35. Alternate translation: “presented it to the apostles”
5:1	xf9d	207828	Introduction of New and Old Participants [26835]	Now a certain man	1	Luke uses this phrase to introduce a new character into the story. If your language has its own way of doing that, you could use it here in your translation.
5:1	y9gx	207829	How to Translate Names [26805]	Ananias	1	**Ananias** is the name of a man.
5:1	ccjg	207830	Introduction of New and Old Participants [26835]	with Sapphira his wife	1	Luke uses this phrase to introduce another new character into the story. If your language has its own way of doing that, you could use it here in your translation.
5:1	nbio	207831	How to Translate Names [26805]	Sapphira	1	**Sapphira** is the name of a woman.
5:2	ale1	207832	Assumed Knowledge and Implicit Information [26687]	he kept back from the price	1	The implication, as the story later makes clear, is that Ananias did not tell anyone except his wife that he was keeping some of the money for himself. If it would be helpful to your readers, you could state that explicitly, and you could state why he did this. Alternate translation: “he kept some of the money from the sale for himself, but he did not admit that he was doing that, because he wanted everyone to think he was being completely generous”
5:2	r6e5	207833		his} wife also knowing, and bringing a certain portion, he laid it	1	It may be helpful to make two new sentences here, particularly if you add information to the previous phrase as suggested in the preceding note. Alternate translation: “His wife also knew that he was keeping back part of the sale money. He brought a certain portion of the money and laid it”
5:2	birl	207834	Idiom [26697]	he laid it at the feet of the apostles	1	This means that he presented to money to the apostles. See how you translated the same expression in 4:37. Alternate translation: “he presented it to the apostles”
5:3	ptjy	207835	Rhetorical Question [26724]	why has Satan filled your heart for you to lie to the Holy Spirit and to keep back from the price of the land	1	Peter is using the question form to rebuke Ananias. If you would not use a rhetorical question for this purpose in your language, you could translate this as a statement or an exclamation. Alternate translation: “you should not have let Satan fill your heart so that you lied to the Holy Spirit and kept back from the price of the land!”
5:3	ojl2	207836	Metaphor [26706]	why has Satan filled your heart	1	Peter is speaking of the **heart** of Ananias as if it were a container that Satan had **filled**. Alternate translation: “why have you allowed Satan to influence your heart so strongly”
5:3	zgen	207837	Metaphor [26706]	your heart	1	Here, the **heart** represents the thoughts and motives. Alternate translation: “your thoughts and motives”
5:3	nx93	207838	Order of Events [26683]	for you to lie to the Holy Spirit and to keep back from the price of the land	1	Ananais first withheld some of the money, then he lied to the Holy Spirit about this by pretending he was giving all of the money. To make this clear in your translation, it may be helpful to describe the events in that order. Alternate translation: “for you to keep back from the price of the land and lie to the Holy Spirit”
5:3	z144	207839	Metonymy [26707]	for you to lie to the Holy Spirit	1	Ananias did not lie literally to the Holy Spirit, but he did lie to the apostles and to all of the believers who would have learned about his gift, and the Holy Spirit was present in them. So by lying to them, he was effectively also lying to the Holy Spirit. Alternate translation: “for you to lie to the Holy Spirit, who is present in us”
5:3	ysjh	207840	Assumed Knowledge and Implicit Information [26687]	and to keep back from the price	1	The implication of what Peter says here is that Ananias claimed or pretended that he was giving the entire amount that he had received from selling his land. Alternate translation: “by pretending that you were giving us the entire amount when you had kept back some for yourself”
5:4	zg9p	207841	Rhetorical Question [26724]	While it remained, did it not remain yours, and being sold, was it {not} in your authority	1	Peter continues to use the question form to rebuke Ananias. If you would not use a rhetorical question for this purpose in your language, you could translate this as a statement. Alternate translation: “While it remained, it remained yours, and after it was sold, it was still in your authority.”
5:4	rz8r	207842		While it remained	1	Alternate translation: “While it remained unsold” or “Before you sold it”
5:4	jxes	207843	Active or Passive [26672]	being sold	1	If it would be helpful in your language, you could state this with an active form. Alternate translation: “once you had sold it”
5:4	l4ts	207844	Pronouns — When to Use Them [26838]	was it {  &  in your authority	1	The pronoun **it** refers to the money that Ananias received from the sale of the land. Alternate translation, as a statement: “you could still do whatever you wanted with the money you received”
5:4	ntre	207845	Pronouns — When to Use Them [26838]	was it {  &  in your authority	1	The implications are that Ananias was not obligated to give all of the money to the apostles. He was free to keep some if he wished or if he needed it. He could simply have acknowledged that he was doing that, and giving the rest of the money would still have been a generous act because there was no compulsion. Alternate translation, as a statement: “you could have kept some and acknowledged that and you would have still been making a generous gift”
5:4	xvkr	207846	Rhetorical Question [26724]	How {is it} that you placed this thing in your heart	1	Peter continues to use the question form to rebuke Ananias. If you would not use a rhetorical question for this purpose in your language, you could translate this as a statement or an exclamation. Alternate translation: “You should not have placed this thing in your heart!”
5:4	iji2	207847	Metaphor [26706]	How {is it} that you placed this thing in your heart	1	Here, the **heart** represents the thoughts. Alternate translation, as an exclamation: “You should not have placed this thing in your thoughts!”
5:4	jtaf	207848	Metaphor [26706]	How {is it} that you placed this thing in your heart	1	Peter speaks of **this thing**, that is, the plan to keep back some of the money, as if Ananias had **placed** it in his **heart**, meaning his thoughts. Alternate translation, as an exclamation: “You should not even have thought of doing such a thing!”
5:4	f895	207849	Metonymy [26707]	You have not lied to men, but to God	1	Ananaias actually has **lied to men**, but Peter is speaking of the ultimate implications of his act. As in the previous verse, where Peter says that Ananias has lied to the Holy Spirit, here he means that Ananias has lied to the apostles and other believers, and God is present in them. So by lying to them, he has effectively also lied to God. Alternate translation: “You have not lied merely to men, but also to God, who is present in us”
5:4	f8r6	207850	When Masculine Words Include Women [26690]	to men	1	Peter is using the term **men** in a generic sense to mean “human beings.” Alternate translation: “to human beings”
5:5	nzth	207851	Metonymy [26707]	And hearing these words	1	Luke is using the term **words** to mean what Peter used words to say. Alternate translation: “When he heard what Peter said”
5:5	jdx2	207852	Euphemism [26682]	falling down, expired	1	The word translated **expired** means that Ananias “breathed out for the last time.” It is a mild way of saying that he died. Alternate translation: “fell down and died”
5:5	ogt7	207853	Order of Events [26683]	falling down, expired	1	Ananias fell down because he died. He did not die because he fell down. To make this clear in your translation, it may be helpful to say first that he died and then that he fell. Alternate translation: “died and fell to the ground”
5:5	t9h0	207854	Personification [26716]	great fear came upon all the ones having heard	1	Luke describes this **fear** as if it were a living thing that could come onto people. Here the word **fear** describes a deep respect for God. Alternate translation: “everyone who heard about it came to feel a very deep respect for God”
5:6	hcif	207855	Idiom [26697]	So rising up, the young men wrapped him up	1	Here the expression **rising up** means that the young men took an action that they recognized they needed to take. It does not mean that they stood up from a seated position. Alternate translation: “the young men took action and wrapped him up”
5:6	tdzd	207856	Assumed Knowledge and Implicit Information [26687]	the young men	1	This could refer to: (1) some strong young men who were present who realized that burying Ananias was a task they could help with. Alternate translation: “some strong young men who were present” (2) a group of young men among the believers who regularly helped the apostles with tasks that required physical strength. Alternate translation: “the young men who regularly helped the apostles with physical tasks”
5:6	su3e	207857	Translate Unknowns [26822]	wrapped him up	1	It was the custom in this culture to wrap linen cloths around the bodies of people who had died, in order to prepare the bodies for burial. If your readers would not be familiar with such a custom, you could describe it more specifically, or you could use a general expression. Alternate translation: “wrapped a linen burial cloth around his body” or “prepared his body for burial”
5:7	hg7t	207858	Idiom [26697]	And an interval of about three hours happened, and	1	This is an idiomatic way of speaking about time passing. Your language may have its own way of describing that. Alternate translation: “After about three hours had gone by,”
5:7	ykf7	207859	Pronouns — When to Use Them [26838]	his wife	1	The pronoun **his** refers to Ananias. Alternate translation: “the wife of Ananias” or “Sapphira”
5:7	reig	207860	Assumed Knowledge and Implicit Information [26687]	what had happened	1	If it would be helpful to your readers, you could state explicitly what this means. Alternate translation: “that Peter had exposed their lie and that her husband was dead”
5:8	cxfp	207861		said to her	1	The word translated **said** means to continue or resume a conversation. Alternate translation: “asked her, based on what her husband had said”
5:8	arim	207862	Forms of ‘You’ — Dual/Plural [26733]	you sold	1	Since Peter is speaking of two people, Ananaias and Sapphira, **you** would be dual if your language uses that form. Otherwise, it would be plural.
5:8	u0j9	207863	Assumed Knowledge and Implicit Information [26687]	for so much.”  &  Yes, for so much	1	This refers to the amount of money that Ananias had given to the apostles. Peter may be naming the amount or, as UST suggests, he may be showing Sapphira the money. Alternate translation: “for this amount of money … yes, for that amount of money”
5:9	kutd	207864	Rhetorical Question [26724]	How {is it} that it was agreed together by you to test the Spirit of the Lord	1	Peter is using the question form to rebuke Sapphira. If you would not use a rhetorical question for this purpose in your language, you could translate this as a statement or an exclamation. Alternate translation: “You should not have agreed together to test the Spirit of the Lord!”
5:9	i81v	207865	Active or Passive [26672]	it was agreed together by you	1	If it would be helpful in your language, you could state this with an active form. Alternate translation: “you agreed together”
5:9	pep0	207866	Forms of You [26731]	by you  &  your  &  you	1	The word **you** in its first instance refers to two people, Ananias and Sapphira, so it would be dual if your language uses that form. Otherwise, it would be plural. The word **your** and the word **you** in its second instance refer only to Sapphira, so those words are singular.
5:9	lgse	207867		to test the Spirit of the Lord	1	Here the word **test** means to challenge. Ananias and Sapphira were trying to see if they could get away with lying about how much they received for the land they sold. Alternate translation: “to challenge the Spirit of the Lord”
5:9	ggza	207868	Metonymy [26707]	to test the Spirit of the Lord	1	Ananias and Sapphira actually tested or challenged the apostles, but Peter is speaking of the ultimate implications of their act, as he does similarly in 5:3 and 5:4. Since the Spirit of the Lord was present in the apostles, by challenging them, Ananias and Sapphira effectively lied to the Spirit. Alternate translation: “to test the Spirit of the Lord, who is present in us apostles”
5:9	iesf	207869	Metaphor [26706]	Behold, the feet	1	Peter says **Behold** to get Sapphira to focus her attention on what he is about to say. Your language may have a similar expression that you can use here in your translation. Alternate translation: “And now the feet”
5:9	p6ae	207870	Metonymy [26707]	the feet of the ones having buried your husband {are} at the door	1	Peter is referring to the return of the young men who buried Ananaias. Their **feet** represent them by association with the way they are using their feet to walk back. The **door** represents their return by association with the way they will come through the door when they return. Alternate translation: “the young men who buried your husband are just now returning”
5:9	an4p	207871	Assumed Knowledge and Implicit Information [26687]	the feet of the ones having buried your husband {are} at the door	1	Peter is telling Sapphira implicitly that her husband died as a judgment from God when Peter confronted him with the lie about the price of the land. If it would be helpful to your readers, you could state that explicitly. Alternate translation: “your husband died as a judgment from God when I confronted him with the lie you both told about the price of the land, and the young men who buried him are just now returning”
5:9	y41n	207872	Assumed Knowledge and Implicit Information [26687]	and they will carry you out	1	The implications are that Sapphira is also going to die and that the same young men will **carry** her **out** to bury her. If it would be helpful to your readers, you could state that explicitly. It may be helpful to make this a separate sentence. Alternate translation: “You are also going to die as a judgment from God, and those same young men are going to carry you out and bury you”
5:10	ki5s	207873	Euphemism [26682]	she fell down at his feet and expired	1	The word translated **expired** means that Sapphira “breathed out for the last time.” It is a mild way of saying that she died. Alternate translation: “she fell down at his feet and died”
5:10	qimy	207874	Order of Events [26683]	she fell down at his feet and expired	1	Sapphira fell down because she died. She did not die because she fell down. To make this clear in your translation, it may be helpful to say first that she died and then that she fell. Alternate translation: “she died and fell down at his feet”
5:10	mhpu	207875	Metonymy [26707]	she fell down at his feet	1	This means that she fell to the ground in front of Peter. This expression should not be confused with the idea of “falling down at a person’s feet,” that is, bowing down to the ground in front of someone as a sign of humility. Alternate translation: “she collapsed onto the ground in front of him”
5:10	ebsr	207876	Assumed Knowledge and Implicit Information [26687]	the young men	1	See how you translated this expression in 5:6. However, it may not be necessary to explain again here who these **young men** were in terms of their role in the community. Instead, you could identify them by their role in the story. Alternate translation: “the same young men who had buried Ananias”
5:11	fioh	207877	End of Story [26831]	And	1	This verse is the end of the story about Ananias and Sapphira. Luke uses the word translated **And** to introduce information about what happened after the story as a result of the events within the story itself. Your language may have its own way of indicating how such information relates to a story.
5:11	lbmm	207878	Personification [26716]	great fear came upon the whole church and upon all the ones hearing these things	1	Luke describes this **fear** as if it were a living thing that could come onto people. See how you translated the similar expression in 5:5. Alternate translation: “the whole church and everyone who heard about these things came to feel a very deep respect for God”
5:12	egaf	207879	Connect — Background Information [26746]	And	1	Luke uses the word translated **And** to introduce background information in 5:12–16 that will help readers understand what happens next in the story. You can translate this word with a word or phrase that serves the same purpose in your language. Alternate translation: “Now”
5:12	anun	207880	Metonymy [26707]	many signs and wonders were happening through the hands of the apostles	1	Luke is using the **hands** of the apostles to represent their actions. Alternate translation: “the apostles were doing many signs and wonders”
5:12	ksr5	207881	Doublet [26680]	signs and wonders	1	The terms **signs** and **wonders** mean similar things. Luke is using them together for emphasis. See how you translated this expression in 4:30. Alternate translation: “great miracles”
5:12	y19s	207882	Pronouns — When to Use Them [26838]	they were all	1	The pronoun **they** refers to the whole community of believers. Alternate translation: “the whole community of believers was”
5:12	h4qc	207883		unanimously	1	The word **unanimously** indicates that the apostles and other believers shared a common commitment and purpose and that there was no strife among them. See how you translated the same expression in 1:14. Alternate translation: “meeting together with one accord” or “meeting together harmoniously”
5:12	xvg1	207884	How to Translate Names [26805]	the Porch of Solomon	1	This was a covered walkway that consisted of rows of pillars that supported a roof. It was named after King Solomon. See how you translated the phrase “the porch that is called Solomon’s” in 3:11, which is a description of this same walkway. Alternate translation: “Solomon’s Porch”
5:13	psoz	207885	Assumed Knowledge and Implicit Information [26687]	none of the others	1	The expression **the others** refers to people who were not believers in Jesus. Alternate translation: “none of the people who were not believers in Jesus”
5:13	h7jh	207886	Assumed Knowledge and Implicit Information [26687]	dared to join them	1	If it would be helpful to your readers, you could state explicitly why no unbelievers **dared to join them**. The reason seems to be that the Jewish leaders had commanded the apostles not to speak or teach about Jesus (4:18), but they were still doing that. Later in this chapter, in 5:28, the Sanhedrin indicates that it has arrested the apostles for violating that command. Alternate translation: “would meet with them, because the apostles were still preaching about Jesus even though the Jewish leaders had commanded them not to do so”
5:14	jpgx	207887	Metonymy [26707]	were being added to the Lord	1	Luke says **the Lord** to mean the community of people who believed in the Lord. Alternate translation: “were being added to the church”
5:14	gwp3	207888	Active or Passive [26672]	were being added to the Lord	1	If it would be helpful in your language, you could state this with an active form. See how you translated the similar expression in 2:41. Alternate translation: “were becoming part of the church”
5:15	omnf	207890	Connect — Reason-and-Result Relationship [26745]	so that	1	Luke says **so that** to introduce a result, but it is not the direct result of what he said just before, that many men and women became part of the church. It is the result of what he said in 5:12, that the apostles were doing “many signs and wonders.” All of 5:12–15 could be understood as a single sentence, and in that case what Luke says here would more clearly follow logically and grammatically from what he says in 5:12. However, ULT divides the material into several sentences, which is another way in which it can be understood. UST models a way to show how what Luke says here introduces a result of what he said in 5:12 about the “signs and wonders” that the apostles were doing.
5:15	fb4o	207891	Pronouns — When to Use Them [26838]	they  &  carried	1	The pronoun **they** refers to the people who lived in Jerusalem. Alternate translation: “people who lived in Jerusalem … carried”
5:15	o47u	207892	Nominal Adjectives [26708]	the sick	1	Luke is using the adjective **sick** as a noun in order to indicate a group of people. Your language may use adjectives in the same way. If not, you could translate this word with an equivalent phrase. Alternate translation: “people who were sick”
5:15	gqry	207893	Doublet [26680]	cots and mats	1	The words **cots** and **mats** mean similar things. Luke could be using them together for emphasis, although he could also be describing two different ways that people managed to make their sick relatives and friends reasonably comfortable as they waited in the streets for Peter to walk by. If it would be helpful to your readers, you could combine these terms in your translation. Alternate translation: “improvised beds”
5:15	uc9c	207894	Assumed Knowledge and Implicit Information [26687]	his} shadow might overshadow any one of them	1	The implication is that God was healing sick people whom Peter’s shadow touched. If it would be helpful to your readers, you could state that explicitly. Alternate translation: “his shadow might overshadow any one of them and God would heal that person”
5:15	aa9x	207895		his} shadow might overshadow any one of them	1	Luke is using a construction in which the subject and verb come from the same root. You may be able to use the same construction in your language to express the meaning here. Alternatively, your language may have its own way of describing this. Alternate translation: “his shadow might fall on”
5:16	c48p	207896	Nominal Adjectives [26708]	the sick	1	See how you translated the expression **the sick** in 5:15. Alternate translation: “people who were sick”
5:16	pn93	207897	Active or Passive [26672]	those afflicted by unclean spirits	1	If it would be helpful in your language, you could state this with an active form. Alternate translation: “those whom unclean spirits were afflicting”
5:16	elj9	207898	Active or Passive [26672]	who were all healed	1	If it would be helpful in your language, you could state this with an active form, and you could state who did the action. Alternate translation: “and the apostles healed them all” or “and God used the apostles to heal them all”
5:16	oeqy	207899	Hyperbole [26695]	who were all healed	1	It does not appear that **all** is a generalization for emphasis in this case. So it would not be accurate to treat **all** as figurative and say something like “and large numbers of them were healed.” Luke is describing what remarkable things God did through the apostles at this time, and he does seem to mean that every sick person whom the people brought to Jerusalem was healed. So it would be appropriate to say in your translation just what ULT says here.
5:17	s3sp	207900	Connect — Contrast Relationship [26743]	But	1	Luke uses the word **But** to introduce a strong contrast into the story. Your language may have its own way of introducing a contrasting narrative. You could also refer back to the previous action in order to highlight the contrast. Alternate translation: “But even though the apostles were doing so much good,”
5:17	k6v2	207901	Order of Events [26683]	rising up, the high priest and all those with him (which is the sect of the Sadducees) were filled with jealousy	1	The high priest and these Sadducees were first **filled with jealousy** and then they rose up (took action) against the apostles. To make this clear in your translation, it may be helpful to describe the events in that order. Alternate translation: “the high priest and all those with him (which is the sect of the Sadducees) were filled with jealousy and they rose up”
5:17	o6kb	207902	Active or Passive [26672]	rising up, the high priest and all those with him (which is the sect of the Sadducees) were filled with jealousy	1	If it would be helpful in your language, you could use an active verbal form instead of the passive form **were filled**. Alternate translation: “jealousy filled the high priest and all those with him (which is the sect of the Sadducees) and they rose up”
5:17	zc37	207903	Idiom [26697]	rising up	1	Here the expression **rising up** means that the high priest decided to take action, not that he stood up from a seated position. Alternate translation: “taking action”
5:17	cr9s	207904	Assumed Knowledge and Implicit Information [26687]	all those with him (which is the sect of the Sadducees	1	The phrase **all those with him** means specifically all the other priests who joined the high priest in taking action against the apostles. Luke observes here that those other priests were from the group known as the **Sadducees**. As a note to 4:1 explains, they opposed the apostles’ teaching because they did not believe in the resurrection. If it would be helpful to your readers, you could state that explicitly. Alternate translation: “and all of the priests from the group known as the Sadducees who wanted to oppose the apostles’ teaching because they did not believe in the resurrection”
5:17	lhoy	207905	Abstract Nouns [26671]	were filled with jealousy	1	If your language does not use an abstract noun for the idea behind the word **jealousy**, you could express the same idea with an adjective such as “jealous.” Alternate translation: “became very jealous”
5:17	hh9j	207906	Metaphor [26706]	were filled with jealousy	1	Luke is speaking as if the high priest and his allies were containers that jealousy **filled**. Alternate translation: “became very jealous”
5:18	bp23	207907	Metonymy [26707]	they laid hands on the apostles	1	The expression **laid hands on** means to arrest someone by association with the way that arresting officers might physically take hold of a person with their **hands**. Alternate translation: “they arrested the apostles”
5:18	sgp6	207908	Synecdoche [26729]	they laid hands on the apostles	1	The high priest and his allies did not arrest the apostles personally. They would have ordered the temple guards to arrest them. But Luke speaks as if the high priest and his allies did this action because they had a significant part in it by ordering it. Alternate translation: “they had the temple guards arrest the apostles”
5:19	aqi1	207909	Pronouns — When to Use Them [26838]	bringing them out	1	The pronoun **them** refers to the apostles. Alternate translation: “bringing the apostles out”
5:20	ctqn	207910	Metonymy [26707]	in the temple	1	Only priests were allowed inside the temple building, so when the angel says **the temple** here, he means the courtyard associated with the temple. Alternate translation: “in the temple courtyard”
5:20	yiba	207911	Metonymy [26707]	all the words of this life	1	The angel is using the term **words** to mean the message that the apostles were to share by using words. Alternate translation: “the entire message about this life”
5:20	d19q	207912		of this life	1	Alternate translation: “about the everlasting life that God gives through Jesus” or “about the new way of living that people can have as followers of Jesus”
5:21	ahdt	207913	Idiom [26697]	having heard this	1	Luke may be using the word “hear” in an idiomatic sense to mean “obey.” Alternate translation: “in obedience to this command from the angel”
5:21	gvev	207914	Metonymy [26707]	into the temple	1	Only priests were allowed inside the temple building, so when Luke says **the temple** here, he means the courtyard associated with the temple. Alternate translation: “into the temple courtyard”
5:21	iw1e	207915	Assumed Knowledge and Implicit Information [26687]	about daybreak	1	The implication is that although the angel led the apostles out of the jail during the night, the sun was rising by the time they reached the temple courtyard. Alternate translation: “as it was beginning to get light”
5:21	zbx7	207916	Connect — Simultaneous Time Relationship [26748]	And	1	Luke is using the word translated **And** to introduce other events that took place around the same time as the events he has just described. Alternate translation: “Meanwhile,”
5:21	dr32	207917	Assumed Knowledge and Implicit Information [26687]	having arrived	1	This does not mean that the high priest and his allies **arrived** in the temple courtyard where the apostles were. Rather, it means that they went into the chamber where the Sanhedrin met so that they could summon the rest of its members to join them there. Alternate translation: “having arrived in the council chamber”
5:21	plgj	207918	Assumed Knowledge and Implicit Information [26687]	the Sanhedrin, even all the elders of the sons of Israel	1	The phrase **even all the elders of the sons of Israel** clarifies the name **Sanhedrin** by describing it membership. Luke is using the word **elders** here in a general sense to mean “leaders.” He is not making a distinction between “elders” and “rulers” as he does in 4:5. Alternate translation: “the Sanhedrin, which was composed of the leaders of the sons of Israel”
5:21	moyf	207919	Metaphor [26706]	of the sons of Israel	1	Here, **sons** means “descendants.” Luke is identifying the Israelites as descendants of their ancestor Jacob, who was also known as Israel. Alternate translation: “the people of Israel”
5:21	u2hc	207920	Ellipsis [26681]	sent to the prison	1	Luke is leaving out a word that in many languages a sentence would need in order to be complete. He means that the high priest and his allies sent someone to the prison to get the apostles. Alternate translation: “sent someone to the prison”
5:23	v0v0	207921	Active or Passive [26672]	We found the prison shut in all security and the guards	1	If it would be helpful in your language, you could use an active verbal form in place of the passive form **shut**, and you can say who did the action. Alternate translation: “We found that the guards had shut the prison in all security and we found the guards”
